9.5
Max time: 35
Max memory: 21
test01: Accepted. Time: 0.031s
test02: Accepted. Time: 0.035s
test03: Accepted. Time: 0.026s
test04: Accepted. Time: 0.023s
test05: Accepted. Time: 0.025s
test06: Accepted. Time: 0.026s
test07: Accepted. Time: 0.025s
test08: Accepted. Time: 0.024s
test09: Accepted. Time: 0.024s
test10: Accepted. Time: 0.024s
test11: Accepted. Time: 0.026s
test12: Accepted. Time: 0.025s
test13: Accepted. Time: 0.026s
test14: Accepted. Time: 0.023s
test15: Accepted. Time: 0.023s
test16: Accepted. Time: 0.022s
test17: Accepted. Time: 0.023s
test18: Accepted. Time: 0.024s
test19: Accepted. Time: 0.025s
test20: Wrong Answer. Time: 0.031s
