10.0
Max time: 38
Max memory: 83
test01: Accepted. Time: 0.035s
test02: Accepted. Time: 0.027s
test03: Accepted. Time: 0.026s
test04: Accepted. Time: 0.028s
test05: Accepted. Time: 0.027s
test06: Accepted. Time: 0.027s
test07: Accepted. Time: 0.026s
test08: Accepted. Time: 0.028s
test09: Accepted. Time: 0.031s
test10: Accepted. Time: 0.038s
test11: Accepted. Time: 0.03s
test12: Accepted. Time: 0.026s
test13: Accepted. Time: 0.024s
test14: Accepted. Time: 0.025s
test15: Accepted. Time: 0.033s
test16: Accepted. Time: 0.027s
test17: Accepted. Time: 0.031s
test18: Accepted. Time: 0.025s
test19: Accepted. Time: 0.025s
test20: Accepted. Time: 0.025s
