10.0
Max time: 397
Max memory: 132
test01: Accepted. Time: 0.035s
test02: Accepted. Time: 0.03s
test03: Accepted. Time: 0.379s
test04: Accepted. Time: 0.397s
test05: Accepted. Time: 0.377s
test06: Accepted. Time: 0.37s
test07: Accepted. Time: 0.06s
test08: Accepted. Time: 0.059s
test09: Accepted. Time: 0.055s
test10: Accepted. Time: 0.061s
test11: Accepted. Time: 0.061s
test12: Accepted. Time: 0.029s
test13: Accepted. Time: 0.026s
test14: Accepted. Time: 0.025s
test15: Accepted. Time: 0.027s
test16: Accepted. Time: 0.347s
test17: Accepted. Time: 0.027s
test18: Accepted. Time: 0.025s
test19: Accepted. Time: 0.026s
test20: Accepted. Time: 0.056s
