10.0
Max time: 70
Max memory: 132
test01: Accepted. Time: 0.07s
test02: Accepted. Time: 0.068s
test03: Accepted. Time: 0.07s
test04: Accepted. Time: 0.066s
test05: Accepted. Time: 0.063s
test06: Accepted. Time: 0.06s
test07: Accepted. Time: 0.067s
test08: Accepted. Time: 0.063s
test09: Accepted. Time: 0.062s
test10: Accepted. Time: 0.061s
test11: Accepted. Time: 0.061s
test12: Accepted. Time: 0.061s
test13: Accepted. Time: 0.061s
test14: Accepted. Time: 0.06s
test15: Accepted. Time: 0.062s
test16: Accepted. Time: 0.063s
test17: Accepted. Time: 0.059s
test18: Accepted. Time: 0.06s
test19: Accepted. Time: 0.06s
test20: Accepted. Time: 0.062s
