10.0
Max time: 391
Max memory: 62
test01: Accepted. Time: 0.086s
test02: Accepted. Time: 0.034s
test03: Accepted. Time: 0.369s
test04: Accepted. Time: 0.38s
test05: Accepted. Time: 0.391s
test06: Accepted. Time: 0.34s
test07: Accepted. Time: 0.063s
test08: Accepted. Time: 0.065s
test09: Accepted. Time: 0.061s
test10: Accepted. Time: 0.061s
test11: Accepted. Time: 0.061s
test12: Accepted. Time: 0.032s
test13: Accepted. Time: 0.032s
test14: Accepted. Time: 0.033s
test15: Accepted. Time: 0.033s
test16: Accepted. Time: 0.382s
test17: Accepted. Time: 0.035s
test18: Accepted. Time: 0.035s
test19: Accepted. Time: 0.034s
test20: Accepted. Time: 0.063s
