9.5
Max time: 395
Max memory: 60
test01: Accepted. Time: 0.395s
test02: Accepted. Time: 0.025s
test03: Accepted. Time: 0.026s
test04: Accepted. Time: 0.027s
test05: Accepted. Time: 0.027s
test06: Accepted. Time: 0.025s
test07: Accepted. Time: 0.027s
test08: Accepted. Time: 0.026s
test09: Accepted. Time: 0.027s
test10: Accepted. Time: 0.028s
test11: Accepted. Time: 0.026s
test12: Accepted. Time: 0.026s
test13: Accepted. Time: 0.026s
test14: Accepted. Time: 0.026s
test15: Accepted. Time: 0.026s
test16: Accepted. Time: 0.026s
test17: Accepted. Time: 0.025s
test18: Accepted. Time: 0.025s
test19: Accepted. Time: 0.024s
test20: Wrong Answer. Time: 0.029s

