9.5
Max time: 33
Max memory: 65
test01: Accepted. Time: 0.033s
test02: Accepted. Time: 0.025s
test03: Accepted. Time: 0.028s
test04: Accepted. Time: 0.027s
test05: Accepted. Time: 0.023s
test06: Accepted. Time: 0.029s
test07: Accepted. Time: 0.025s
test08: Accepted. Time: 0.024s
test09: Accepted. Time: 0.024s
test10: Accepted. Time: 0.026s
test11: Accepted. Time: 0.025s
test12: Accepted. Time: 0.024s
test13: Accepted. Time: 0.024s
test14: Accepted. Time: 0.023s
test15: Accepted. Time: 0.026s
test16: Accepted. Time: 0.024s
test17: Accepted. Time: 0.023s
test18: Accepted. Time: 0.025s
test19: Accepted. Time: 0.022s
test20: Wrong Answer. Time: 0.025s
