10.0
Max time: 380
Max memory: 77
test01: Accepted. Time: 0.033s
test02: Accepted. Time: 0.031s
test03: Accepted. Time: 0.368s
test04: Accepted. Time: 0.38s
test05: Accepted. Time: 0.36s
test06: Accepted. Time: 0.353s
test07: Accepted. Time: 0.063s
test08: Accepted. Time: 0.064s
test09: Accepted. Time: 0.059s
test10: Accepted. Time: 0.054s
test11: Accepted. Time: 0.056s
test12: Accepted. Time: 0.026s
test13: Accepted. Time: 0.024s
test14: Accepted. Time: 0.026s
test15: Accepted. Time: 0.026s
test16: Accepted. Time: 0.344s
test17: Accepted. Time: 0.024s
test18: Accepted. Time: 0.027s
test19: Accepted. Time: 0.024s
test20: Accepted. Time: 0.054s
