10.0
Max time: 76
Max memory: 77
test01: Accepted. Time: 0.064s
test02: Accepted. Time: 0.066s
test03: Accepted. Time: 0.066s
test04: Accepted. Time: 0.064s
test05: Accepted. Time: 0.068s
test06: Accepted. Time: 0.065s
test07: Accepted. Time: 0.066s
test08: Accepted. Time: 0.074s
test09: Accepted. Time: 0.064s
test10: Accepted. Time: 0.062s
test11: Accepted. Time: 0.064s
test12: Accepted. Time: 0.062s
test13: Accepted. Time: 0.064s
test14: Accepted. Time: 0.069s
test15: Accepted. Time: 0.068s
test16: Accepted. Time: 0.065s
test17: Accepted. Time: 0.068s
test18: Accepted. Time: 0.076s
test19: Accepted. Time: 0.066s
test20: Accepted. Time: 0.067s
