1.0
Max time: 90
Max memory: 82
test01: Accepted. Time: 0.068s
test02: Accepted. Time: 0.054s
test03: Wrong Answer. Time: 0.031s
test04: Wrong Answer. Time: 0.053s
test05: Wrong Answer. Time: 0.028s
test06: Wrong Answer. Time: 0.054s
test07: Wrong Answer. Time: 0.027s
test08: Wrong Answer. Time: 0.058s
test09: Wrong Answer. Time: 0.054s
test10: Wrong Answer. Time: 0.042s
test11: Wrong Answer. Time: 0.039s
test12: Wrong Answer. Time: 0.031s
test13: Wrong Answer. Time: 0.051s
test14: Wrong Answer. Time: 0.073s
test15: Wrong Answer. Time: 0.054s
test16: Wrong Answer. Time: 0.056s
test17: Wrong Answer. Time: 0.051s
test18: Wrong Answer. Time: 0.063s
test19: Wrong Answer. Time: 0.063s
test20: Wrong Answer. Time: 0.09s
