10.0
Max time: 590
Max memory: 92
test01: Accepted. Time: 0.59s
test02: Accepted. Time: 0.045s
test03: Accepted. Time: 0.049s
test04: Accepted. Time: 0.042s
test05: Accepted. Time: 0.04s
test06: Accepted. Time: 0.038s
test07: Accepted. Time: 0.045s
test08: Accepted. Time: 0.04s
test09: Accepted. Time: 0.041s
test10: Accepted. Time: 0.04s
test11: Accepted. Time: 0.04s
test12: Accepted. Time: 0.042s
test13: Accepted. Time: 0.045s
test14: Accepted. Time: 0.041s
test15: Accepted. Time: 0.042s
test16: Accepted. Time: 0.051s
test17: Accepted. Time: 0.062s
test18: Accepted. Time: 0.054s
test19: Accepted. Time: 0.047s
test20: Accepted. Time: 0.06s
