10.0
Max time: 317
Max memory: 132
test01: Accepted. Time: 0.027s
test02: Accepted. Time: 0.023s
test03: Accepted. Time: 0.024s
test04: Accepted. Time: 0.024s
test05: Accepted. Time: 0.023s
test06: Accepted. Time: 0.024s
test07: Accepted. Time: 0.023s
test08: Accepted. Time: 0.023s
test09: Accepted. Time: 0.023s
test10: Accepted. Time: 0.023s
test11: Accepted. Time: 0.193s
test12: Accepted. Time: 0.234s
test13: Accepted. Time: 0.11s
test14: Accepted. Time: 0.111s
test15: Accepted. Time: 0.1s
test16: Accepted. Time: 0.098s
test17: Accepted. Time: 0.188s
test18: Accepted. Time: 0.134s
test19: Accepted. Time: 0.265s
test20: Accepted. Time: 0.317s
