10.0
Max time: 4097
Max memory: 97
test01: Accepted. Time: 4.097s
test02: Accepted. Time: 0.058s
test03: Accepted. Time: 0.038s
test04: Accepted. Time: 0.036s
test05: Accepted. Time: 0.047s
test06: Accepted. Time: 0.034s
test07: Accepted. Time: 0.054s
test08: Accepted. Time: 0.041s
test09: Accepted. Time: 0.047s
test10: Accepted. Time: 0.037s
test11: Accepted. Time: 0.366s
test12: Accepted. Time: 0.416s
test13: Accepted. Time: 0.208s
test14: Accepted. Time: 0.206s
test15: Accepted. Time: 0.198s
test16: Accepted. Time: 0.196s
test17: Accepted. Time: 0.328s
test18: Accepted. Time: 0.221s
test19: Accepted. Time: 0.418s
test20: Accepted. Time: 0.5s
