10.0
Max time: 67
Max memory: 132
test01: Accepted. Time: 0.063s
test02: Accepted. Time: 0.06s
test03: Accepted. Time: 0.06s
test04: Accepted. Time: 0.063s
test05: Accepted. Time: 0.061s
test06: Accepted. Time: 0.066s
test07: Accepted. Time: 0.066s
test08: Accepted. Time: 0.063s
test09: Accepted. Time: 0.061s
test10: Accepted. Time: 0.063s
test11: Accepted. Time: 0.06s
test12: Accepted. Time: 0.062s
test13: Accepted. Time: 0.06s
test14: Accepted. Time: 0.062s
test15: Accepted. Time: 0.065s
test16: Accepted. Time: 0.061s
test17: Accepted. Time: 0.061s
test18: Accepted. Time: 0.064s
test19: Accepted. Time: 0.066s
test20: Accepted. Time: 0.064s
