9.5
Max time: 313
Max memory: 82
test01: Accepted. Time: 0.313s
test02: Accepted. Time: 0.035s
test03: Accepted. Time: 0.051s
test04: Accepted. Time: 0.046s
test05: Accepted. Time: 0.042s
test06: Accepted. Time: 0.031s
test07: Accepted. Time: 0.045s
test08: Accepted. Time: 0.036s
test09: Accepted. Time: 0.053s
test10: Accepted. Time: 0.028s
test11: Accepted. Time: 0.057s
test12: Accepted. Time: 0.038s
test13: Accepted. Time: 0.05s
test14: Accepted. Time: 0.029s
test15: Accepted. Time: 0.047s
test16: Accepted. Time: 0.055s
test17: Accepted. Time: 0.027s
test18: Accepted. Time: 0.044s
test19: Accepted. Time: 0.034s
test20: Wrong Answer. Time: 0.059s
