10.0
Max time: 27
Max memory: 132
test01: Accepted. Time: 0.027s
test02: Accepted. Time: 0.027s
test03: Accepted. Time: 0.026s
test04: Accepted. Time: 0.025s
test05: Accepted. Time: 0.026s
test06: Accepted. Time: 0.023s
test07: Accepted. Time: 0.024s
test08: Accepted. Time: 0.023s
test09: Accepted. Time: 0.024s
test10: Accepted. Time: 0.023s
test11: Accepted. Time: 0.023s
test12: Accepted. Time: 0.023s
test13: Accepted. Time: 0.022s
test14: Accepted. Time: 0.021s
test15: Accepted. Time: 0.022s
test16: Accepted. Time: 0.021s
test17: Accepted. Time: 0.022s
test18: Accepted. Time: 0.022s
test19: Accepted. Time: 0.023s
test20: Accepted. Time: 0.023s
