0.5
Max time: 69
Max memory: 56
test01: Accepted. Time: 0.069s
test02: Wrong Answer. Time: 0.031s
test03: Wrong Answer. Time: 0.054s
test04: Wrong Answer. Time: 0.031s
test05: Wrong Answer. Time: 0.036s
test06: Wrong Answer. Time: 0.032s
test07: Wrong Answer. Time: 0.043s
test08: Wrong Answer. Time: 0.023s
test09: Wrong Answer. Time: 0.031s
test10: Wrong Answer. Time: 0.05s
test11: Wrong Answer. Time: 0.031s
test12: Wrong Answer. Time: 0.047s
test13: Wrong Answer. Time: 0.033s
test14: Wrong Answer. Time: 0.031s
test15: Wrong Answer. Time: 0.036s
test16: Wrong Answer. Time: 0.046s
test17: Wrong Answer. Time: 0.055s
test18: Wrong Answer. Time: 0.047s
test19: Wrong Answer. Time: 0.05s
test20: Wrong Answer. Time: 0.031s
